DAYS OF THE WEEK,DATE,SLEEP SCORE,HOURS OF SLEEP,REM SLEEP,DEEP SLEEP,HEART RATE BELOW RESTING,SLEEP TIME,MONTH,SLEEP START,SLEEP END
Friday,03/04/2022,84.0,8:29:00,18.00%,13.00%,99.00%,10:42pm - 8:44am,MARCH,22:42,08:44
Saturday,03/05/2022,87.0,8:30:00,20.00%,19.00%,72.00%,11:33pm - 9:10am,MARCH,23:33,09:10
Monday,03/07/2022,86.0,7:29:00,20.00%,16.00%,69.00%,11:45pm - 8:29am,MARCH,23:45,08:29
Tuesday,03/08/2022,71.0,5:42:00,13.00%,0.00%,59.00%,1:40am - 8:14am,MARCH,01:40,08:14
Wednesday,03/09/2022,82.0,8:22:00,15.00%,16.00%,43.00%,12:22am - 9:47am,MARCH,00:22,09:47
Thursday,03/10/2022,87.0,7:59:00,17.00%,19.00%,92.00%,11:01pm - 7:59am,MARCH,23:01,07:59
Friday,03/11/2022,84.0,8:13:00,12.00%,17.00%,84.00%,10:50pm - 8:13am,MARCH,22:50,08:13
Saturday,03/12/2022,84.0,7:37:00,18.00%,20.00%,36.00%,12:42am - 9:16am,MARCH,00:42,09:16
Sunday,03/13/2022,87.0,7:28:00,23.00%,21.00%,54.00%,11:47pm - 9:11am,MARCH,23:47,09:11
Monday,03/14/2022,82.0,7:14:00,17.00%,17.00%,76.00%,10:47pm - 7:16am,MARCH,22:47,07:16
Tuesday,03/15/2022,89.0,7:33:00,20.00%,25.00%,87.00%,10:46pm - 7:22am,MARCH,22:46,07:22
Wednesday,03/16/2022,89.0,7:47:00,25.00%,16.00%,89.00%,10:26pm - 7:10am,MARCH,22:26,07:10
Thursday,03/17/2022,87.0,8:17:00,22.00%,14.00%,93.00%,10:32pm - 8:13am,MARCH,22:32,08:13
Friday,03/18/2022,79.0,7:12:00,12.00%,16.00%,80.00%,10:47pm - 6:58am,MARCH,22:47,06:58
Sunday,03/20/2022,87.0,8:16:00,27.00%,18.00%,67.00%,11:57pm - 9:14am,MARCH,23:57,09:14
Monday,03/21/2022,84.0,8:09:00,15.00%,15.00%,91.00%,10:36pm - 8:13am,MARCH,22:36,08:13
Tuesday,03/22/2022,86.0,7:07:00,25.00%,17.00%,97.00%,10:58pm - 7:00am,MARCH,22:58,07:00
Wednesday,03/23/2022,85.0,7:25:00,20.00%,21.00%,43.00%,10:27pm - 6:46am,MARCH,22:27,06:46
Thursday,03/24/2022,25.0,7:52:00,21.00%,18.00%,52.00%,11:42pm - 8:32am,MARCH,23:42,08:32
Friday,03/25/2022,81.0,8:10:00,18.00%,22.00%,10.00%,11:25pm - 8:42am,MARCH,23:25,08:42
Saturday,03/26/2022,87.0,8:54:00,21.00%,11.00%,98.00%,10:52pm - 9:12am,MARCH,22:52,09:12
Sunday,03/27/2022,86.0,7:03:00,20.00%,15.00%,95.00%,12:04am - 8:02am,MARCH,00:04,08:02
Monday,03/28/2022,80.0,6:33:00,14.00%,22.00%,95.00%,10:12pm - 5:51am,MARCH,22:12,05:51
Tuesday,03/29/2022,86.0,6:59:00,22.00%,23.00%,93.00%,10:00pm - 5:51am,MARCH,22:00,05:51
Wednesday,03/30/2022,87.0,6:34:00,20.00%,20.00%,96.00%,10:08pm - 5:29am,MARCH,22:08,05:29
Thursday,03/31/2022,91.0,7:38:00,30.00%,21.00%,92.00%,9:41pm - 5:56am,MARCH,21:41,05:56
Monday,11/1/2021,88.0,8:06:00,20.00%,13.00%,84.00%,10:41pm - 7:54am,NOVEMBER,22:41,07:54
Tuesday,11/2/2021,83.0,7:57:00,12.00%,18.00%,90.00%,10:40pm - 7:55am,NOVEMBER,22:40,07:55
Wednesday,11/3/2021,81.0,7:06:00,13.00%,22.00%,93.00%,11:03pm - 7:16am,NOVEMBER,23:03,07:16
Thursday,11/4/2021,86.0,7:04:00,19.00%,17.00%,97.00%,10:55pm - 6:56am,NOVEMBER,22:55,06:56
Friday,11/5/2021,81.0,9:24:00,17.00%,15.00%,66.00%,10:14pm - 9:01am,NOVEMBER,22:14,09:01
Saturday,11/6/2021,77.0,8:19:00,14.00%,13.00%,21.00%,11:21 - 8:45am,NOVEMBER,11:21,08:45
Sunday,11/7/2021,86.0,7:37:00,20.00%,15.00%,80.00%,11:18pm - 6:57am,NOVEMBER,23:18,06:57
Monday,11/8/2021,81.0,6:46,16%,17.00%,89.00%,11:50pm - 7:40am,NOVEMBER,23:50,07:40
Tuesday,11/9/2021,88.0,7:10:00,24.00%,19.00%,98.00%,11:14pm - 7:16am,NOVEMBER,23:14,07:16
Wednesday,11/10/2021,84.0,7:16:00,21.00%,17.00%,96.00%,11:16pm - 7:29am,NOVEMBER,23:16,07:29
Thursday,11/11/2021,85.0,6:52:00,19.00%,21.00%,97.00%,10:47pm - 6:32am,NOVEMBER,22:47,06:32
Friday,11/12/2021,85.0,7:28:00,18.00%,16.00%,74.00%,10:21pm - 6:47am,NOVEMBER,22:21,06:47
Saturday,11/13/2021,74.0,6:06,16.00%,21.00%,43.00%,11:34pm - 6:51am,NOVEMBER,23:34,06:51
Sunday,11/14/2021,88.0,6:59:00,23.00%,22.00%,91.00%,10:54pm - 6:48am,NOVEMBER,22:54,06:48
Monday,11/15/2021,87.0,7:19:00,21.00%,22.00%,96.00%,10:45pm - 6:57am,NOVEMBER,22:45,06:57
Tuesday,11/16/2021,80.0,7:22:00,17.00%,11.00%,55.00%,11-38pm - 8:23am,NOVEMBER,23:38,08:23
Wednesday,11/17/2021,78.0,6:57:00,15.00%,14.00%,67.00%,11:50pm - 7:50am,NOVEMBER,23:50,07:50
Thursday,11/18/2021,87.0,7:14:00,24.00%,19.00%,98.00%,10:42pm - 6:51am,NOVEMBER,22:42,06:51
Friday,11/19/2021,83.0,6:50:00,20.00%,20.00%,75.00%,10:49pm - 6:37am,NOVEMBER,22:49,06:37
Saturday,11/20/2021,86.0,7:56:00,24.00%,17.00%,63.00%,10:53pm - 7:59am,NOVEMBER,22:53,07:59
Sunday,11/21/2021,88.0,7:33:00,19.00%,16.00%,95.00%,11:13pm - 8:07am,NOVEMBER,23:13,08:07
Monday,11/22/2021,87.0,8:21:00,14.00%,19.00%,94.00%,10:12pm - 7:32am,NOVEMBER,22:12,07:32
Tuesday,11/23/2021,86.0,8:15:00,20.00%,14.00%,72.00%,11:53pm - 9:15am,NOVEMBER,23:53,09:15
Wednesday,11/24/2021,77.0,6:26:00,18.00%,13.00%,55.00%,11:36pm - 7:13am,NOVEMBER,23:36,07:13
Thursday,11/25/2021,81.0,6:51:00,20.00%,17.00%,51.00%,12:50am - 8:27am,NOVEMBER,00:50,08:27
Friday,11/26/2021,87.0,8:45:00,22.00%,19.00%,56.00%,12:53am - 10:35am,NOVEMBER,00:53,10:35
Saturday,11/27/2021,86.0,7:53:00,24.00%,19.00%,66.00%,12:51am - 10:04am,NOVEMBER,00:51,10:04
Sunday,11/28/2021,83.0,6:13:00,22.00%,22.00%,81.00%,12:02am - 6:59am,NOVEMBER,00:02,06:59
Monday,11/29/2021,89.0,7:44:00,18.00%,21.00%,81.00%,11:00pm - 7:38am,NOVEMBER,23:00,07:38
Tuesday,11/30/2021,78.0,6:48:00,12.00%,13.00%,74.00%,11:16pm - 7:06am,NOVEMBER,23:16,07:06
